# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:47:02
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,RICHMOND_PRECIPITATION_TIMEPEAK,RICHMOND_PRECIPITATION_PEAK,RICHMOND_PRECIPITATION_NVALID,RICHMOND_PRECIPITATION_DAYOFYEAR,RICHMOND_QTOT_TIMEPEAK,RICHMOND_QTOT_PEAK,RICHMOND_QTOT_NVALID,RICHMOND_QTOT_DAYOFYEAR,RICHMOND_SMPFULL_TIMEPEAK,RICHMOND_SMPFULL_PEAK,RICHMOND_SMPFULL_NVALID,RICHMOND_SMPFULL_DAYOFYEAR
2010-10-01,2010-10-04 09:00:00,55.03068,364,3,2010-12-28 09:00:00,21.35115,364,88,2011-01-10 09:00:00,0.76194,364,101
2011-10-01,2012-01-26 09:00:00,66.52142,365,117,2012-01-26 09:00:00,23.37990,365,117,2012-01-26 09:00:00,0.76997,365,117
2012-10-01,2013-01-28 09:00:00,137.51120,364,119,2013-02-23 09:00:00,37.17002,364,145,2013-02-23 09:00:00,0.79062,364,145
2013-10-01,2014-03-28 09:00:00,107.93934,364,178,2014-08-28 09:00:00,10.55226,364,331,2014-03-28 09:00:00,0.71874,364,178
2014-10-01,2015-05-02 09:00:00,131.27299,364,213,2015-05-02 09:00:00,25.55502,364,213,2015-05-02 09:00:00,0.76888,364,213
2015-10-01,2016-06-05 09:00:00,126.64557,365,248,2016-06-05 09:00:00,18.53890,365,248,2016-06-20 09:00:00,0.87013,365,263
2016-10-01,2017-03-31 09:00:00,212.73071,364,181,2017-03-31 09:00:00,66.69821,364,181,2017-03-31 09:00:00,0.96864,364,181
2017-10-01,2017-10-15 09:00:00,71.92049,364,14,2018-03-07 09:00:00,8.54988,364,157,2018-03-07 09:00:00,0.82336,364,157
2018-10-01,2019-03-16 09:00:00,41.51081,364,166,2018-10-16 09:00:00,4.04974,364,15,2018-10-17 09:00:00,0.76247,364,16
2019-10-01,2020-02-07 09:00:00,83.89497,365,129,2020-02-14 09:00:00,33.71726,365,136,2020-02-14 09:00:00,0.92959,365,136
2020-10-01,2020-12-15 09:00:00,102.19020,364,75,2021-03-24 09:00:00,29.81943,364,174,2020-12-15 09:00:00,0.94521,364,75
2021-10-01,2022-02-28 09:00:00,296.91998,303,150,2022-02-28 09:00:00,109.75315,303,150,2022-02-28 09:00:00,0.97455,303,150
